Sample_Number,Timestamp(s),Min_Value(dB¦ÌV),Max_Value(dB¦ÌV),Average_Value(dB¦ÌV)
1,0.108,-14.73,19.27,-6.27
2,0.584,-14.70,19.27,-5.85
3,1.030,-14.70,19.27,-5.64
4,1.353,-14.67,19.56,-5.47
5,1.972,-12.33,19.56,-5.30
6,2.495,-12.24,19.56,-5.07
7,2.973,-12.24,19.56,-4.97
8,3.358,-12.24,19.56,-4.85
9,4.141,-12.24,19.56,-4.72
10,4.572,-12.24,19.56,-4.66
11,5.172,-11.87,19.56,-4.52
12,5.987,-11.87,19.56,-4.42
13,6.479,-11.87,19.56,-4.35
14,7.032,-11.87,19.56,-4.30
15,7.432,-11.87,19.56,-4.24
16,7.955,-11.65,19.56,-4.15
17,8.601,-11.65,19.56,-4.06
18,9.246,-11.65,19.56,-4.01
19,9.600,-11.65,19.56,-3.97
20,9.954,-11.65,19.56,-3.93
21,10.337,-11.65,19.56,-3.92
22,10.953,-10.13,19.56,-3.88
23,11.430,-10.13,19.56,-3.84
24,11.878,-9.98,19.56,-3.81
25,12.278,-9.98,19.56,-3.80
26,12.864,-9.98,19.56,-3.76
27,13.357,-9.98,19.56,-3.76
28,13.806,-9.98,19.56,-3.74
29,14.173,-9.25,19.56,-3.70
30,14.774,-9.25,19.56,-3.69
